Database name,Table Name,Field Name,Type,Description,Example,turn_n
soccer_1,Player_Attributes,gk_diving,INTEGER,Goalkeeper diving ability.,6.0,0
soccer_1,Player_Attributes,gk_reflexes,INTEGER,Goalkeeper reflexes ability.,8.0,0
soccer_1,Player_Attributes,free_kick_accuracy,INTEGER,Player's free kick accuracy.,39.0,0
soccer_1,League,name,TEXT,Name of the league.,Belgium Jupiler League,0
soccer_1,Team,team_api_id,INTEGER,Team identifier from an external API.,,0
soccer_1,Player_Attributes,player_api_id,INTEGER,Foreign key referencing the Player table via the API ID.,505942,0
soccer_1,Player_Attributes,gk_handling,INTEGER,Goalkeeper handling ability.,11.0,0
soccer_1,Team_Attributes,chanceCreationShootingClass,TEXT,Class of the team's chance creation shooting.,,0
soccer_1,Team_Attributes,buildUpPlaySpeedClass,TEXT,Class of the team's build up play speed.,,0
soccer_1,Player_Attributes,attacking_work_rate,TEXT,Player's attacking work rate.,medium,0
soccer_1,Player_Attributes,id,INTEGER,Unique identifier for a player's attributes record.,1,0
soccer_1,Team_Attributes,defenceAggressionClass,TEXT,Class of the team's defence aggression.,,0
soccer_1,Player_Attributes,jumping,INTEGER,Player's jumping ability.,58.0,0
soccer_1,Team,id,INTEGER,Unique identifier for a team.,,0
soccer_1,Team_Attributes,defenceTeamWidthClass,TEXT,Class of the team's defence team width.,,0
soccer_1,Team_Attributes,buildUpPlayPassing,INTEGER,Team's build up play passing.,,0
soccer_1,Player_Attributes,dribbling,INTEGER,Player's dribbling ability.,51.0,0
soccer_1,Team_Attributes,chanceCreationPositioningClass,TEXT,Class of the team's chance creation positioning.,,0
soccer_1,Team_Attributes,id,INTEGER,Unique identifier for a team's attributes record.,,0
soccer_1,Player_Attributes,marking,INTEGER,Player's marking ability.,65.0,0
soccer_1,Player_Attributes,preferred_foot,TEXT,Preferred foot of the player.,right,0
soccer_1,Player_Attributes,long_passing,INTEGER,Player's long passing ability.,64.0,0
soccer_1,Player_Attributes,reactions,INTEGER,Player's reactions ability.,47.0,0
soccer_1,Team_Attributes,defenceAggression,INTEGER,Team's defence aggression.,,0
soccer_1,Player,player_api_id,INTEGER,Player identifier from an external API.,505942,0
soccer_1,Player_Attributes,acceleration,INTEGER,Player's acceleration ability.,60.0,0
soccer_1,Team_Attributes,buildUpPlaySpeed,INTEGER,Team's build up play speed.,,0
soccer_1,Player_Attributes,balance,INTEGER,Player's balance ability.,65.0,0
soccer_1,Team_Attributes,buildUpPlayDribbling,INTEGER,Team's build up play dribbling.,,0
soccer_1,Player,id,INTEGER,Unique identifier for a player.,1,0
soccer_1,Player_Attributes,short_passing,INTEGER,Player's short passing ability.,61.0,0
soccer_1,Player_Attributes,strength,INTEGER,Player's strength ability.,76.0,0
soccer_1,Player_Attributes,sprint_speed,INTEGER,Player's sprint speed ability.,64.0,0
soccer_1,Team_Attributes,defenceTeamWidth,INTEGER,Team's defence team width.,,0
soccer_1,Player_Attributes,ball_control,INTEGER,Player's ball control ability.,49.0,0
soccer_1,Player_Attributes,shot_power,INTEGER,Player's shot power ability.,55.0,0
soccer_1,Team,team_short_name,TEXT,Short name or abbreviation of the team.,,0
soccer_1,Team_Attributes,date,TEXT,Date the attributes were recorded.,,0
soccer_1,Player_Attributes,aggression,INTEGER,Player's aggression ability.,71.0,0
soccer_1,Player_Attributes,player_fifa_api_id,INTEGER,Foreign key referencing the Player table via the FIFA API ID.,218353,0
soccer_1,Team_Attributes,team_fifa_api_id,INTEGER,Foreign key referencing the Team table via the FIFA API ID.,,0
soccer_1,Player_Attributes,agility,INTEGER,Player's agility ability.,59.0,0
soccer_1,Player,weight,INTEGER,Weight of the player in kilograms.,187,0
soccer_1,Player,birthday,TEXT,Date of birth of the player.,1992-02-29 00:00:00,0
soccer_1,Team_Attributes,chanceCreationShooting,INTEGER,Team's chance creation shooting.,,0
soccer_1,Player_Attributes,gk_kicking,INTEGER,Goalkeeper kicking ability.,10.0,0
soccer_1,Player_Attributes,interceptions,INTEGER,Player's interceptions ability.,70.0,0
soccer_1,Player_Attributes,standing_tackle,INTEGER,Player's standing tackle ability.,69.0,0
soccer_1,Player,player_name,TEXT,Name of the player.,Aaron Appindangoye,0
soccer_1,Team_Attributes,defencePressure,INTEGER,Team's defence pressure.,,0
soccer_1,Player_Attributes,finishing,INTEGER,Player's finishing ability.,44.0,0
soccer_1,Player_Attributes,potential,INTEGER,Potential rating of the player.,71.0,0
soccer_1,Player_Attributes,curve,INTEGER,Player's curve ability.,45.0,0
soccer_1,Player,height,INTEGER,Height of the player in centimeters.,182.88,0
soccer_1,Player_Attributes,date,TEXT,Date the attributes were recorded.,2016-02-18 00:00:00,0
soccer_1,Player_Attributes,heading_accuracy,INTEGER,Player's heading accuracy.,71.0,0
soccer_1,Player_Attributes,stamina,INTEGER,Player's stamina ability.,54.0,0
soccer_1,Player_Attributes,crossing,INTEGER,Player's crossing ability.,49.0,0
soccer_1,Country,id,INTEGER,Unique identifier for a country.,1,0
soccer_1,Team_Attributes,defencePressureClass,TEXT,Class of the team's defence pressure.,,0
soccer_1,Team_Attributes,team_api_id,INTEGER,Foreign key referencing the Team table via the API ID.,,0
soccer_1,Team_Attributes,chanceCreationPassing,INTEGER,Team's chance creation passing.,,0
soccer_1,Team_Attributes,buildUpPlayPassingClass,TEXT,Class of the team's build up play passing.,,0
soccer_1,Player,player_fifa_api_id,INTEGER,Player identifier from the FIFA API.,218353,0
soccer_1,Team_Attributes,buildUpPlayPositioningClass,TEXT,Class of the team's build up play positioning.,,0
soccer_1,Team_Attributes,defenceDefenderLineClass,TEXT,Class of the team's defence defender line.,,0
soccer_1,Country,name,TEXT,Name of the country.,Belgium,0
soccer_1,Player_Attributes,vision,INTEGER,Player's vision ability.,54.0,0
soccer_1,Player_Attributes,defensive_work_rate,TEXT,Player's defensive work rate.,medium,0
soccer_1,Player_Attributes,sliding_tackle,INTEGER,Player's sliding tackle ability.,69.0,0
soccer_1,Player_Attributes,positioning,INTEGER,Player's positioning ability.,45.0,0
soccer_1,Player_Attributes,volleys,INTEGER,Player's volleys ability.,44.0,0
soccer_1,Player_Attributes,long_shots,INTEGER,Player's long shots ability.,35.0,0
soccer_1,Team,team_long_name,TEXT,Full name of the team.,,0
soccer_1,Team,team_fifa_api_id,INTEGER,Team identifier from the FIFA API.,,0
soccer_1,League,country_id,INTEGER,"Foreign key referencing the Country table, indicating the country the league belongs to.",1,0
soccer_1,Player_Attributes,penalties,INTEGER,Player's penalties ability.,48.0,0
soccer_1,Team_Attributes,chanceCreationCrossing,INTEGER,Team's chance creation crossing.,,0
soccer_1,Player_Attributes,overall_rating,INTEGER,Overall rating of the player.,67.0,0
soccer_1,League,id,INTEGER,Unique identifier for a league.,1,0
soccer_1,Team_Attributes,buildUpPlayDribblingClass,TEXT,Class of the team's build up play dribbling.,,0
soccer_1,Player_Attributes,gk_positioning,INTEGER,Goalkeeper positioning ability.,8.0,0
soccer_1,Team_Attributes,chanceCreationPassingClass,TEXT,Class of the team's chance creation passing.,,0
soccer_1,Team_Attributes,chanceCreationCrossingClass,TEXT,Class of the team's chance creation crossing.,,0
