Database name,Table Name,Field Name,Type,Description,Example,turn_n
medicine_enzyme_interaction,enzyme,name,TEXT,"The scientific name of the enzyme, such as ALA dehydratase or Protoporphyrinogen oxidase.",ALA synthase,0
medicine_enzyme_interaction,medicine,name,TEXT,"The generic name of the medication, such as Remoxipride or Lurasidone.",Amisulpride,0
medicine_enzyme_interaction,enzyme,Porphyria,TEXT,"The specific porphyria disorder associated with the enzyme, such as variegate porphyria.",none,0
medicine_enzyme_interaction,medicine,FDA_approved,TEXT,"Indicates whether the medication has received FDA approval, with values such as Yes or No.",No,0
medicine_enzyme_interaction,enzyme,id,INT,Primary key uniquely identifying each enzyme record.,1,0
medicine_enzyme_interaction,medicine_enzyme_interaction,interaction_type,TEXT,"Describes the nature of the interaction between the medicine and enzyme, such as activitor or inhibitor.",inhibitor,0
medicine_enzyme_interaction,medicine,id,INT,Primary key uniquely identifying each medicine record.,1,0
medicine_enzyme_interaction,medicine_enzyme_interaction,medicine_id,INT,Foreign key referencing the medicine table id column and part of the composite primary key identifying the interaction record.,1,0
medicine_enzyme_interaction,enzyme,Location,TEXT,"The cellular compartment where the enzyme is located, such as Cytosol or Mitochondrion.",Mitochondrion,0
medicine_enzyme_interaction,enzyme,OMIM,INT,The Online Mendelian Inheritance in Man database identifier number associated with the enzyme or condition.,125290,0
medicine_enzyme_interaction,enzyme,Product,TEXT,The chemical substance produced by the enzymatic reaction.,Î´-Aminolevulinic acid,0
medicine_enzyme_interaction,enzyme,Chromosome,TEXT,The chromosomal locus associated with the gene encoding the enzyme.,3p21.1,0
medicine_enzyme_interaction,medicine_enzyme_interaction,enzyme_id,INT,Foreign key referencing the enzyme table id column and part of the composite primary key identifying the interaction record.,1,0
medicine_enzyme_interaction,medicine,Trade_Name,TEXT,"The commercial brand name of the medication, such as Roxiam or Latuda.",Solian,0
