Database name,Table Name,Field Name,Type,Description,Example,turn_n
performance_attendance,member_attendance,Member_ID,INT,Unique identifier for a member; foreign key referencing the member table.,11,0
performance_attendance,performance,Performance_ID,REAL,Unique identifier for a performance; primary key.,1.0,0
performance_attendance,performance,Date,TEXT,The date the performance occurred.,February 2,0
performance_attendance,member_attendance,Performance_ID,INT,Unique identifier for a performance; foreign key referencing the performance table.,3,0
performance_attendance,member,Member_ID,TEXT,Unique identifier for a member; primary key.,1,0
performance_attendance,performance,Attendance,INT,The number of attendees at the performance.,165,0
performance_attendance,member_attendance,Num_of_Pieces,INT,The number of pieces the member performed in the performance.,2,0
performance_attendance,performance,Host,TEXT,The host of the performance.,Boston Bruins,0
performance_attendance,member,Nationality,TEXT,The nationality of the member.,Uruguay,0
performance_attendance,performance,Location,TEXT,The location where the performance took place.,TD Garden,0
performance_attendance,member,Name,TEXT,The name of the member.,Wilfredo Ruiz,0
performance_attendance,member,Role,TEXT,"The role the member plays, such as Violin or Viola.",Prime Violin,0
