Database name,Table Name,Field Name,Type,Description,Example,turn_n
match_season,match_season,Draft_Class,TEXT,"The name of the specific draft event, including year and league information.",1996 MLS College Draft,0
match_season,team,Name,TEXT,The name of the team or organization.,Columbus Crew,0
match_season,match_season,College,TEXT,The educational institution or university attended by the player prior to the draft.,Florida International,0
match_season,team,Team_id,INT,Primary key representing a unique integer identifier for each team.,1,0
match_season,match_season,Season,REAL,Primary key representing the year of the season or draft event.,1996.0,0
match_season,player,Doubles_WL,TEXT,The win-loss record specifically for doubles matches or events.,1â0,0
match_season,player,Singles_WL,TEXT,The win-loss record specifically for singles matches or events.,1â0,0
match_season,player,Player,TEXT,"The name of the player, sometimes including an additional numerical identifier in parentheses.",Cho Soong-Jae (630),0
match_season,country,Country_id,INT,Primary key representing a unique integer identifier for each country.,1,0
match_season,match_season,Position,TEXT,"The playing position of the player, such as Defender or Midfielder.",Midfielder,0
match_season,country,Official_native_language,TEXT,The official or native language spoken within the country.,Bahasa Indonesia,0
match_season,player,Player_ID,INT,Primary key representing a unique integer identifier for each player record.,1,0
match_season,player,Team,INT,"Foreign key referencing team.Team_id, indicating the team associated with the player.",1,0
match_season,match_season,Team,INT,"Foreign key referencing team.Team_id, indicating the team associated with the draft selection.",1,0
match_season,player,Years_Played,TEXT,Text indicating the number of years played and the specific range or years of activity.,1 (2011),0
match_season,match_season,Draft_Pick_Number,INT,The numerical order in which the player was selected during the draft.,18,0
match_season,player,Total_WL,TEXT,The aggregate win-loss record for the player across all competitions.,2â0,0
match_season,match_season,Country,INT,"Foreign key referencing country.Country_id, indicating the player's country of origin.",6,0
match_season,country,Country_name,TEXT,The official name of the country.,Indonesia,0
match_season,match_season,Player,TEXT,"The name of the player, potentially including metadata artifacts from source data.",Steve Ralston Category:Articles with hCards,0
match_season,country,Capital,TEXT,The capital city of the country.,Jakarta,0
