Database name,Table Name,Field Name,Type,Description,Example,turn_n
debate,debate_people,If_Affirmative_Win,bool,Boolean indicating whether the affirmative side won the debate.,F,0
debate,people,Party,TEXT,Political party affiliation of the person.,Republican,0
debate,debate_people,Affirmative,INT,Foreign key referencing the person who argued the affirmative side.,1,0
debate,debate,Num_of_Audience,INT,Number of audience members present at the debate.,342,0
debate,debate_people,Negative,INT,Foreign key referencing the person who argued the negative side.,10,0
debate,debate,Debate_ID,INT,Unique identifier for a debate.,1,0
debate,people,Name,TEXT,Name of the person.,Luther C. Carter,0
debate,debate_people,Debate_ID,INT,Foreign key referencing the debate.,1,0
debate,people,People_ID,INT,Unique identifier for a person.,1,0
debate,debate,Venue,TEXT,Location where the debate was held.,"Manama , Bahrain",0
debate,people,District,TEXT,Political district represented by the person.,New York 1,0
debate,people,Age,INT,Age of the person.,35,0
debate,debate,Date,TEXT,Date on which the debate occurred.,"October 21, 2011",0
