Database name,Table Name,Field Name,Type,Description,Example,turn_n
journal_committee,editor,Editor_ID,INT,Unique identifier for an editor; primary key.,1,0
journal_committee,journal_committee,Work_Type,TEXT,Type of work the editor is doing for the journal.,Photo,0
journal_committee,journal,Date,TEXT,Date of the journal publication.,"September 9, 2001",0
journal_committee,editor,Age,REAL,Age of the editor.,34.0,0
journal_committee,journal,Journal_ID,INT,Unique identifier for a journal; primary key.,1,0
journal_committee,editor,Name,TEXT,Name of the editor.,Kamila Porczyk,0
journal_committee,journal,Sales,INT,Number of sales for the journal.,798,0
journal_committee,journal_committee,Editor_ID,INT,Identifier of the editor involved in the journal committee; primary key; foreign key referencing editor.Editor_ID.,1,0
journal_committee,journal,Theme,TEXT,Theme or subject of the journal.,Miami Dolphins,0
journal_committee,journal_committee,Journal_ID,INT,Identifier of the journal the editor is working on; primary key; foreign key referencing journal.Journal_ID.,13,0
