Database name,Table Name,Field Name,Type,Description,Example,turn_n
gymnast,gymnast,Floor_Exercise_Points,REAL,Points scored by the gymnast in the floor exercise event.,9.725,0
gymnast,people,Height,REAL,The height of the person in meters.,1.71,0
gymnast,gymnast,Gymnast_ID,INT,Unique identifier for a gymnast; foreign key referencing the People table.,1,0
gymnast,gymnast,Vault_Points,REAL,Points scored by the gymnast in the vault event.,9.575,0
gymnast,gymnast,Horizontal_Bar_Points,REAL,Points scored by the gymnast on the horizontal bar event.,9.75,0
gymnast,gymnast,Pommel_Horse_Points,REAL,Points scored by the gymnast on the pommel horse event.,9.737,0
gymnast,people,Hometown,TEXT,The hometown of the person.,Santo Domingo,0
gymnast,gymnast,Total_Points,REAL,Total points scored by the gymnast across all events.,58.061,0
gymnast,gymnast,Parallel_Bars_Points,REAL,Points scored by the gymnast on the parallel bars event.,9.762,0
gymnast,people,Name,TEXT,The name of the person.,Paul Hamm,0
gymnast,people,People_ID,INT,Unique identifier for a person; primary key.,1,0
gymnast,people,Age,REAL,The age of the person in years.,24.0,0
gymnast,gymnast,Rings_Points,REAL,Points scored by the gymnast on the rings event.,9.512,0
