Database name,Table Name,Field Name,Type,column_descriptions,sample_rows,turn_n
baseball_1,manager,player_id,TEXT,Unique identifier for the manager (often a player ID).,[],0
baseball_1,all_star,league_id,TEXT,"Identifier for the league (e.g., AL, NL) associated with the player or game.","['AL', 'AL', 'AL', 'AL', 'AL']",0
baseball_1,park,country,TEXT,Country where the park is located.,"['US', 'US', 'US', 'US', 'US']",0
baseball_1,manager_award,award_id,TEXT,Identifier or name of the award received.,"['BBWAA Manager of the year', 'BBWAA Manager of the year', 'BBWAA Manager of the year', 'BBWAA Manager of the year', 'BBWAA Manager of the year']",0
baseball_1,team,lg_win,TEXT,Indicator if the team won the league championship (Y/N).,"['N', 'N', 'N', 'N', 'N']",0
baseball_1,postseason,team_id_winner,TEXT,Identifier for the winning team.,"['PRO', 'CHC', 'STL', 'DTN', 'NYG']",0
baseball_1,player_award,player_id,TEXT,Unique identifier for the player.,"['bondto01', 'hinespa01', 'heckegu01', 'radboch01', 'oneilti01']",0
baseball_1,player,player_id,TEXT,Unique identifier for the player.,"['aardsda01', 'aaronha01', 'aaronto01', 'aasedo01', 'abadan01']",0
baseball_1,player,birth_country,TEXT,Country of birth.,"['USA', 'USA', 'USA', 'USA', 'USA']",0
baseball_1,player,name_last,TEXT,Last name of the player.,"['Aardsma', 'Aaron', 'Aaron', 'Aase', 'Abad']",0
baseball_1,manager_award_vote,player_id,TEXT,Unique identifier for the manager candidate.,[],0
baseball_1,all_star,team_id,TEXT,Identifier for the team the player represented in the All-Star game.,"['NYA', 'BOS', 'NYA', 'DET', 'CHA']",0
baseball_1,postseason,league_id_winner,TEXT,Identifier for the league of the winning team.,"['NL', 'NL', 'AA', 'NL', 'NL']",0
baseball_1,player_award_vote,player_id,TEXT,Unique identifier for the player candidate.,[],0
baseball_1,player_award,year,INTEGER,Year the award was received.,"[1877, 1878, 1884, 1884, 1887]",0
baseball_1,salary,year,INTEGER,The season year.,"[1985, 1985, 1985, 1985, 1985]",0
baseball_1,manager,year,INTEGER,The season year.,[],0
baseball_1,player,name_given,TEXT,Given name or full first/middle name.,"['David Allan', 'Henry Louis', 'Tommie Lee', 'Donald William', 'Fausto Andres']",0
baseball_1,manager_award_vote,award_id,TEXT,Identifier or name of the award.,[],0
baseball_1,player,birth_city,TEXT,City of birth.,"['Denver', 'Mobile', 'Mobile', 'Orange', 'Palm Beach']",0
baseball_1,player_award,notes,TEXT,"Additional notes regarding the award (e.g., position).","['', '', '', '', '']",0
baseball_1,player,birth_year,NUMERIC,Year of birth.,"[1981, 1934, 1939, 1954, 1972]",0
baseball_1,manager_award,player_id,TEXT,Unique identifier for the manager.,"['larusto01', 'lasorto01', 'andersp01', 'freyji99', 'coxbo01']",1
baseball_1,player,birth_day,NUMERIC,Day of birth.,"[27, 5, 5, 8, 25]",1
baseball_1,player_award_vote,points_won,NUMERIC,Total points received in the voting.,[],1
baseball_1,college,country,TEXT,Country where the college is located.,"['USA', 'USA', 'USA', 'USA', 'USA']",1
baseball_1,player,death_country,TEXT,Country of death.,"['', '', 'USA', '', '']",1
baseball_1,player,birth_month,NUMERIC,Month of birth.,"[12, 2, 8, 9, 8]",1
baseball_1,manager_award,league_id,TEXT,Identifier for the league associated with the award.,"['AL', 'NL', 'AL', 'NL', 'AL']",1
baseball_1,appearances,year,INTEGER,The season year.,[],1
baseball_1,all_star,player_id,TEXT,"Unique identifier for the player, referencing the player table.","['gomezle01', 'ferreri01', 'gehrilo01', 'gehrich01', 'dykesji01']",2
baseball_1,player_award_vote,league_id,TEXT,Identifier for the league.,[],2
baseball_1,team,year,INTEGER,The season year.,"[1871, 1871, 1871, 1871, 1871]",2
baseball_1,player_award,award_id,TEXT,Identifier or name of the award received.,"['Pitching Triple Crown', 'Triple Crown', 'Pitching Triple Crown', 'Pitching Triple Crown', 'Triple Crown']",2
baseball_1,player,death_city,TEXT,City of death.,"['', '', 'Atlanta', '', '']",0
baseball_1,player_award,tie,TEXT,Indicator if the award was tied.,"['', '', '', '', '']",0
baseball_1,player_award_vote,year,INTEGER,Year of the vote.,[],0
baseball_1,player_college,player_id,TEXT,Unique identifier for the player.,"['aardsda01', 'aardsda01', 'aardsda01', 'abadan01', 'abadan01']",0
baseball_1,player_award_vote,award_id,TEXT,Identifier or name of the award.,[],0
baseball_1,player_award,league_id,TEXT,Identifier for the league associated with the award.,"['NL', 'NL', 'AA', 'NL', 'AA']",0
baseball_1,player,final_game,TEXT,Date of the player's final game.,"['2015-08-23', '1976-10-03', '1971-09-26', '1990-10-03', '2006-04-13']",1
baseball_1,player,death_year,NUMERIC,Year of death.,"['', '', 1984, '', '']",1
baseball_1,player_college,year,INTEGER,Year associated with the college attendance or graduation.,"[2001, 2002, 2003, 1992, 1993]",1
baseball_1,player,birth_state,TEXT,State of birth.,"['CO', 'AL', 'AL', 'CA', 'FL']",1
baseball_1,player_college,college_id,TEXT,Unique identifier for the college attended.,"['pennst', 'rice', 'rice', 'gamiddl', 'gamiddl']",2
baseball_1,manager_half,year,INTEGER,The season year.,[],3
baseball_1,manager_award_vote,year,INTEGER,Year of the vote.,[],3
baseball_1,salary,player_id,TEXT,Unique identifier for the player.,"['barkele01', 'bedrost01', 'benedbr01', 'campri01', 'ceronri01']",0
