Database name,Table Name,Field Name,Type,Description,Example,turn_n
student_transcripts_tracking,Students,first_name,VARCHAR(80),First name of the student.,Timmothy,0
student_transcripts_tracking,Students,student_id,INTEGER,Unique identifier for the student.,1,0
student_transcripts_tracking,Transcript_Contents,transcript_id,INTEGER,Foreign key referencing the transcript.,2,0
student_transcripts_tracking,Students,cell_mobile_number,VARCHAR(40),Cell or mobile number of the student.,(096)889-8954x524,0
student_transcripts_tracking,Student_Enrolment,student_id,INTEGER,Foreign key referencing the student enrolled.,14,0
student_transcripts_tracking,Sections,section_description,VARCHAR(255),Description of the section.,non,0
student_transcripts_tracking,Students,date_left,DATETIME,Date the student left.,1971-05-17 19:28:49,0
student_transcripts_tracking,Student_Enrolment,other_details,VARCHAR(255),Additional details about the student enrolment.,,0
student_transcripts_tracking,Students,email_address,VARCHAR(40),Email address of the student.,erwin.zboncak@example.com,0
student_transcripts_tracking,Departments,department_id,INTEGER,Unique identifier for the department.,1,0
student_transcripts_tracking,Students,last_name,VARCHAR(40),Last name of the student.,Ward,0
student_transcripts_tracking,Sections,course_id,INTEGER,Foreign key referencing the course associated with the section.,9,0
student_transcripts_tracking,Addresses,line_3,VARCHAR(255),Third line of the address.,,0
student_transcripts_tracking,Addresses,city,VARCHAR(255),City of the address.,Port Chelsea,0
student_transcripts_tracking,Courses,other_details,VARCHAR(255),Additional details about the course.,,0
student_transcripts_tracking,Degree_Programs,degree_summary_description,VARCHAR(255),Description of the degree program.,architecto,0
student_transcripts_tracking,Students,middle_name,VARCHAR(40),Middle name of the student.,Anna,0
student_transcripts_tracking,Addresses,line_2,VARCHAR(255),Second line of the address.,Apt. 370,0
student_transcripts_tracking,Semesters,semester_name,VARCHAR(255),Name of the semester.,spring 2010,0
student_transcripts_tracking,Degree_Programs,department_id,INTEGER,Foreign key referencing the department associated with the degree program.,13,0
student_transcripts_tracking,Degree_Programs,other_details,VARCHAR(255),Additional details about the degree program.,,0
student_transcripts_tracking,Sections,section_name,VARCHAR(255),Name of the section.,a,0
student_transcripts_tracking,Student_Enrolment_Courses,course_id,INTEGER,Foreign key referencing the course.,6,0
student_transcripts_tracking,Courses,course_id,INTEGER,Unique identifier for the course.,1,0
student_transcripts_tracking,Semesters,semester_description,VARCHAR(255),Description of the semester.,x,0
student_transcripts_tracking,Semesters,semester_id,INTEGER,Unique identifier for the semester.,1,0
student_transcripts_tracking,Courses,course_description,VARCHAR(255),Description of the course.,p,0
student_transcripts_tracking,Transcript_Contents,student_course_id,INTEGER,Foreign key referencing the student's course enrolment.,0,0
student_transcripts_tracking,Students,other_student_details,VARCHAR(255),Additional details about the student.,quia,0
student_transcripts_tracking,Student_Enrolment_Courses,student_enrolment_id,INTEGER,Foreign key referencing the student enrolment.,2,0
student_transcripts_tracking,Departments,department_description,VARCHAR(255),Description of the department.,error,0
student_transcripts_tracking,Sections,other_details,VARCHAR(255),Additional details about the section.,,0
student_transcripts_tracking,Addresses,country,VARCHAR(255),Country of the address.,Iceland,0
student_transcripts_tracking,Student_Enrolment,semester_id,INTEGER,Foreign key referencing the semester of the enrolment.,13,0
student_transcripts_tracking,Transcripts,transcript_date,DATETIME,Date of the transcript.,1988-04-30 01:19:47,0
student_transcripts_tracking,Students,ssn,VARCHAR(40),Social Security Number of the student.,965,0
student_transcripts_tracking,Students,permanent_address_id,INTEGER,Foreign key referencing the student's permanent address.,15,0
student_transcripts_tracking,Addresses,state_province_county,VARCHAR(255),"State, province, or county of the address.",Virginia,0
student_transcripts_tracking,Students,date_first_registered,DATETIME,Date the student first registered.,1971-02-05 07:28:23,0
student_transcripts_tracking,Transcripts,transcript_id,INTEGER,Unique identifier for the transcript.,1,0
student_transcripts_tracking,Degree_Programs,degree_summary_name,VARCHAR(255),Summary name of the degree program.,Master,0
student_transcripts_tracking,Addresses,line_1,VARCHAR(255),First line of the address.,2294 Grant Square Apt. 235,0
student_transcripts_tracking,Courses,course_name,VARCHAR(255),Name of the course.,ds,0
student_transcripts_tracking,Student_Enrolment,degree_program_id,INTEGER,Foreign key referencing the degree program the student is enrolled in.,12,0
student_transcripts_tracking,Addresses,other_address_details,VARCHAR(255),Additional details about the address.,,0
student_transcripts_tracking,Degree_Programs,degree_program_id,INTEGER,Unique identifier for the degree program.,1,0
student_transcripts_tracking,Departments,other_details,VARCHAR(255),Additional details about the department.,,0
student_transcripts_tracking,Addresses,address_id,INTEGER,Unique identifier for the address.,1,0
student_transcripts_tracking,Student_Enrolment,student_enrolment_id,INTEGER,Unique identifier for the student enrolment.,1,0
student_transcripts_tracking,Student_Enrolment_Courses,student_course_id,INTEGER,Unique identifier for the student's course enrolment.,0,0
student_transcripts_tracking,Semesters,other_details,VARCHAR(255),Additional details about the semester.,,0
student_transcripts_tracking,Addresses,zip_postcode,VARCHAR(20),Zip or postal code of the address.,148,0
student_transcripts_tracking,Sections,section_id,INTEGER,Unique identifier for the section.,1,0
student_transcripts_tracking,Students,current_address_id,INTEGER,Foreign key referencing the student's current address.,10,0
student_transcripts_tracking,Departments,department_name,VARCHAR(255),Name of the department.,computer science,0
student_transcripts_tracking,Transcripts,other_details,VARCHAR(255),Additional details about the transcript.,,0
